"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"ASCENTI PHYSIO LIMITED","Carnac House Carnac Court, Cams Hall Estate, Fareham, Hampshire, PO16 8UZ","04530716","86210","10.8","0.6","	-16.8","	-95.7","67.5","58.6","28.0","72.0","35.0","65.0","29.0","71.0","42.0","58.0","https://www.ascenti.co.uk/news-article/gender-pay-gap-report","Stephanie Dobrikova (CEO)","250 to 499","ASCENTI PHYSIO LIMITED","False","06/10/2021 00:00:00","15/02/2021 17:04:45"
"ASDA STORES LIMITED","Asda House, South Bank, Great Wilson Street, Leeds, LS11 5AD","00464777","47190","8.4","5.5","50.0","24.8","75.0","83.9","39.7","60.3","32.7","67.3","42.4","57.6","61.2","38.8","https://corporate.asda.com/newsroom/2021/01/07/asda-reduces-gender-pay-gap","Hayley Tatum (Chief People Officer)","20,000 or more","ASDA STORES LIMITED","False","06/10/2021 00:00:00","07/01/2021 12:06:35"
"ASPIRE DEFENCE SERVICES LIMITED","Aspire Business Centre, Ordnance Road, Tidworth, Wiltshire, United Kingdom, SP9 7QD","04556471","68320","17.4","22.2","25.5","3.7","3.3","2.2","64.3","35.7","51.6","48.4","72.3","27.7","83.9","16.1","https://aspiredefence.co.uk/adsl/ads-home/employer-of-choice-2/","Mark Carr (Managing Director)","1000 to 4999","ASPIRE DEFENCE SERVICES LIMITED","False","06/10/2021 00:00:00","26/02/2021 10:26:18"
"ASSET EDUCATION","St Helen's School, Woodbridge Road, Ipswich, Suffolk, United Kingdom, IP4 2LT","09434926","85200","19.5","33.6","","","0.0","0.0","6.6","93.4","5.1","94.9","19.1","80.9","14.7","85.3","http://www.asseteducation.co.uk/home/Important-Documents","","500 to 999","ASSET EDUCATION","False","06/10/2021 00:00:00","14/10/2020 09:06:07"
"Association of Accounting Technicians","140 Aldersgate Street, London, EC1A 4HY","","","6.9","7.5","4.6","0.0","76.0","81.0","40.0","60.0","54.0","46.0","52.0","48.0","56.0","44.0","https://www.aat.org.uk/prod/s3fs-public/assets/AAT-gender-pay-gap-report-2020.pdf","Olivia Hill (Director of HR)","250 to 499","Association of Accounting Technicians","False","06/10/2021 00:00:00","23/02/2021 13:54:48"
"ASTER COMMUNITIES","Sarsen Court, Devizes, SN10 2AZ","IP031530","","19.0","9.0","	-1.0","0.0","80.7","77.1","10.0","90.0","14.0","86.0","22.0","78.0","33.0","67.0","","Jude Knapp (People Systems & Reporting Leader)","250 to 499","ASTER COMMUNITIES","False","06/10/2021 00:00:00","10/03/2021 10:38:51"
"ASTER PROPERTY LIMITED","Sarsen Court, Horton Avenue Cannings Hill, Devizes, Wiltshire, SN10 2AZ","04628065","41202,
68320","17.0","25.0","	-9.0","0.0","77.0","82.0","53.0","47.0","78.0","22.0","93.0","7.0","84.0","16.0","","Jude Knapp (People Systems & Reporting Lead)","500 to 999","ASTER PROPERTY LIMITED","False","06/10/2021 00:00:00","10/03/2021 10:46:39"
"ATLANTIC INERTIAL SYSTEMS LIMITED","Clittaford Road, Southway, Plymouth, Devon, PL6 6DE","06208660","26511","17.0","22.7","19.6","	-115.3","38.0","34.0","54.0","46.0","71.0","29.0","77.0","23.0","85.0","15.0","https://www.collinsaerospace.com/who-we-are/Global/Europe/UK/Local-Presence","Kevin Pindard (Director)","250 to 499","ATLANTIC INERTIAL SYSTEMS LIMITED","False","06/10/2021 00:00:00","10/03/2021 17:00:35"
"ATM SERVICES LIMITED","Russell House, Elvicta Business Park, Crickhowell, Powys, NP8 1DF","04682264","64999","	-7.0","	-11.0","	-10.0","	-13.0","89.0","93.0","100.0","0.0","97.0","3.0","94.0","6.0","87.0","13.0","https://www.notemachine.com/","Grant Foley (Chief Financial Officer)","250 to 499","ATM SERVICES LIMITED","False","06/10/2021 00:00:00","03/03/2021 12:53:55"
"ATOS BPS LIMITED","Second Floor, Mid City Place, 71 High Holborn, London, United Kingdom, WC1V 6EA","10208312","62090,
81100,
82990","14.6","5.0","35.5","17.2","85.0","86.0","44.0","56.0","35.0","65.0","45.0","55.0","49.0","51.0","https://atos.net/en-gb/united-kingdom/we-are-atos/key-regulatory-documents","Cheryl Allen (HR Director)","Not Provided","ATOS BPS LIMITED","False","06/10/2021 00:00:00","21/12/2020 14:41:51"
"ATOS IT SERVICES UK LIMITED","Second Floor, Mid City Place, 71 High Holborn, London, United Kingdom, WC1V 6EA","01245534","26200,
62090,
70229,
86900","31.5","28.1","54.1","34.0","51.0","36.0","48.0","52.0","39.0","61.0","67.0","33.0","80.0","20.0","https://atos.net/en-gb/united-kingdom/we-are-atos/key-regulatory-documents","Cheryl Allen (HR Director)","Not Provided","ATOS IT SERVICES UK LIMITED","False","06/10/2021 00:00:00","21/12/2020 14:42:08"
"Attenborough Learning Trust","C/O Highfields Primary School, Pluto Close, Leicester, United Kingdom, LE2 0UU","","","16.8","48.4","","","0.0","0.0","3.3","96.7","6.8","93.2","18.6","81.4","15.2","84.8","https://www.attenboroughlearningtrust.org.uk/wp-content/uploads/2021/01/Gender-Pay-Gap-March-2020.pdf","","250 to 499","Attenborough Learning Trust","False","06/10/2021 00:00:00","14/01/2021 15:44:33"
"AUTISM INITIATIVES (UK)","Sefton House, Bridle Road, Bootle, Merseyside, England, L30 4XR","02436777","85200,
85310,
87300,
88990","	-3.1","0.0","","","0.0","0.0","43.9","56.1","36.0","64.0","42.3","57.7","33.9","66.1","https://www.autisminitiatives.org/","Andrew Grainger (Chief Executive)","1000 to 4999","AUTISM INITIATIVES (UK)","False","06/10/2021 00:00:00","02/02/2021 15:41:25"
"AUTISM TOGETHER","Wirral Centre For Autism Oak House (Unit C), 6 Tebay Road Bromborough, Wirral, Merseyside, CH62 3PA","02658268","87200","	-2.2","0.0","","","0.0","0.0","51.0","49.0","45.0","55.0","40.0","60.0","44.0","56.0","","Jim Strain (HR Director)","500 to 999","AUTISM TOGETHER","False","06/10/2021 00:00:00","06/11/2020 16:00:24"
"AVENTIS PHARMA LIMITED","410 Thames Valley Park Drive, Reading, Berkshire, England, RG6 1PT","01535640","46460","11.8","8.6","18.6","20.5","99.0","98.0","34.5","65.5","46.1","53.9","48.0","52.0","58.2","41.8","","Gordon Tillett (Head of HR, UK and Ireland)","500 to 999","AVENTIS PHARMA LIMITED","False","06/10/2021 00:00:00","11/01/2021 12:08:48"
"AVEVA SOLUTIONS LIMITED","High Cross, Madingley Road, Cambridge, CB3 0HB","00803680","58290","19.4","23.7","36.0","37.8","83.0","76.0","53.0","47.0","75.0","25.0","81.0","19.0","83.0","17.0","https://www.aveva.com/en/about/gender-pay-gap-reporting/","Adrian Porter (Global Head of Reward)","500 to 999","AVEVA SOLUTIONS LIMITED","False","06/10/2021 00:00:00","04/09/2020 11:53:42"
"Avon & Wiltshire Mental Health Partnership NHS Trust","Bath NHS House, Newbridge Hill, Bath, BA1 3QE","","1,
86210","14.5","7.4","57.6","52.7","2.0","0.5","21.3","78.7","23.5","76.5","23.9","76.1","33.8","66.2","http://www.awp.nhs.uk/news-publications/publications/gender-pay-gap/","","1000 to 4999","Avon & Wiltshire Mental Health Partnership NHS Trust","False","06/10/2021 00:00:00","09/03/2021 14:57:54"
"Avon and Somerset Police","Avon and Somerset Police, Police and Fire Headquarters, Valley Road, Portishead, Bristol, BS20 8QJ","","1,
84240","9.4","16","29.4","20.6","2.7","2","41.9","58.1","42.3","57.7","59.1","40.9","65.3","34.7","https://media.aspolice.net/uploads/production/20210303134844/Gender-Pay-Gap-Report-2019-20_Feb-2021-v4.pdf","","5000 to 19,999","Avon and Somerset Police","False","06/10/2021 00:00:00","11/03/2021 11:46:29"
"AXA GLOBAL HEALTHCARE (UK) LIMITED","5 Old Broad Street, London, EC2N 1AD","03039521","65120,
82990","17.8","6.8","42.7","22.5","93.9","96.6","37","63","38.4","61.6","42.5","57.5","50.7","49.3","https://www.axaglobalhealthcare.com/en/about-us/news/gender-pay-gap/","Charlotte Roux (Chief Financial Officer)","250 to 499","AXA GLOBAL HEALTHCARE (UK) LIMITED","False","06/10/2021 00:00:00","08/02/2021 11:31:02"
"AXA ICAS LIMITED","5 Old Broad Street, London, EC2N 1AD","02548573","66290","9.4","3.2","29.6","17.9","95.6","91.4","28.1","71.9","32.6","67.4","33.0","67.0","31.5","68.5","","Tracy Garrad (CEO, AXA Health)","250 to 499","AXA ICAS LIMITED","False","06/10/2021 00:00:00","08/02/2021 09:28:06"
"AXA INVESTMENT MANAGERS LIMITED","22 Bishopsgate, London, United Kingdom, EC2N 4BQ","03886111","66190","28.5","27.1","68.8","61.7","86.8","87.3","43.3","56.7","55.1","44.9","60.5","39.5","80.3","19.7","https://www.axa-im.com/en/empowering-female-talent","Marco Morelli (Chief Executive Officer)","250 to 499","AXA INVESTMENT MANAGERS LIMITED","False","06/10/2021 00:00:00","08/02/2021 13:31:01"
"AXA PPP HEALTHCARE GROUP LIMITED","5 Old Broad Street, London, EC2N 1AD","03148346","64205","15.9","9.5","46.0","18.5","93.3","94.7","35.3","64.7","33.3","66.7","34.0","66.0","50.3","49.7","","Tracy Garrad (CEO, AXA Health)","1000 to 4999","AXA PPP HEALTHCARE GROUP LIMITED","False","06/10/2021 00:00:00","08/02/2021 09:32:58"
"AXA SERVICES LIMITED","5 Old Broad Street, London, EC2N 1AD","00446043","82990","23.7","21.6","52.1","29.1","90.4","93.7","39.7","60.3","36.1","63.9","47.8","52.2","63.6","36.4","","Roland Moquet (CFO, AXA UK & Ireland)","1000 to 4999","AXA SERVICES LIMITED","False","06/10/2021 00:00:00","08/02/2021 09:37:59"
"AXA UK PLC","5 Old Broad Street, London, EC2N 1AD","02937724","70100","20.6","16.1","42.4","28.1","90.2","91.3","39.3","60.7","55.0","45.0","58.4","41.6","61.7","38.3","","Roland Moquet (CFO, AXA UK & Ireland)","500 to 999","AXA UK PLC","False","06/10/2021 00:00:00","08/02/2021 09:41:45"
"B.H.C. LIMITED","6 East Bridge Street, Enniskillen, County Fermanagh, BT74 7BT","NI029649","41201","13.8","4.0","0.0","0.0","70.0","0.0","90.1","9.9","93.1","6.9","94.1","5.9","96.0","4.0","","Marjorie Hewitt (Finance Director)","250 to 499","B.H.C. LIMITED","False","06/10/2021 00:00:00","23/02/2021 08:56:53"
"B&CE HOLDINGS LIMITED","Manor Royal, Crawley, West Sussex, RH10 9QP","00377361","64999","33.0","39.0","67.0","67.0","40.0","31.0","25.0","75.0","29.0","71.0","45.0","55.0","67.0","33.0","https://bandce.co.uk/wp-content/uploads/2020/12/BCE-Gender-Pay-gap-report-2019-2020.pdf","Patrick Heath-Lay (CEO)","500 to 999","B&CE HOLDINGS LIMITED","False","06/10/2021 00:00:00","07/12/2020 18:09:06"
"B&Q LIMITED","B & Q House Chestnut Avenue, Chandlers Ford, Eastleigh, Hampshire, SO53 3LE","00973387","47190,
47599,
47789,
47910","9.5","1.1","53.6","0.0","34.7","37.0","54.4","45.6","51.9","48.1","56.4","43.6","62.1","37.9","https://www.diy.com/genderpayreport","Bernard Bot (Chief Financial Officer)","20,000 or more","B&Q LIMITED","False","06/10/2021 00:00:00","26/02/2021 11:40:07"
"BADOO LIMITED","The Broadgate Tower Third Floor, 20 Primrose Street, London, United Kingdom, EC2A 2RS","05692436","62090","31.0","45.0","65.0","84.0","91.0","89.0","33.0","67.0","67.0","33.0","79.0","21.0","91.0","9.0","","Liat Shtainberg (Head of HR)","250 to 499","BADOO LIMITED","False","06/10/2021 00:00:00","26/08/2020 16:40:38"
"BAE SYSTEMS (OPERATIONS) LIMITED","Warwick House, PO BOX 87, Farnborough Aerospace Centre, Farnborough, Hants., GU14 6YU","01996687","30300,
84220","8.2","7","10","12.2","88.7","88.6","71.7","28.3","77.9","22.1","80.9","19.1","88.7","11.3","https://www.baesystems.com/en/our-company/sustainability/diversity-and-inclusion/our-approach-to-gender-balance","Chris Boardman (Group Managing Director, Air)","5000 to 19,999","BAE SYSTEMS (OPERATIONS) LIMITED","False","06/10/2021 00:00:00","04/03/2021 09:50:24"
"BAE SYSTEMS APPLIED INTELLIGENCE LIMITED","Surrey Research Park, Guildford, Surrey, GU2 7YP","01337451","62020","16","21.3","40.7","36.7","93.5","93.7","69.1","30.9","75.8","24.2","79.1","20.9","85.8","14.2","https://www.baesystems.com/en/our-company/sustainability/diversity-and-inclusion/our-approach-to-gender-balance","Julian Cracknell (Managing Director - AI)","1000 to 4999","BAE SYSTEMS APPLIED INTELLIGENCE LIMITED","False","06/10/2021 00:00:00","04/03/2021 09:52:07"
"BAE SYSTEMS GLOBAL COMBAT SYSTEMS MUNITIONS LIMITED","Warwick House, PO BOX 87 Farnborough Aerospace, Centre Farnborough, Hampshire, GU14 6YU","01842252","25400","4.8","7","6.8","0","94.5","97","76.8","23.2","84.9","15.1","93.2","6.8","85.4","14.6","https://www.baesystems.com/en/our-company/sustainability/diversity-and-inclusion/our-approach-to-gender-balance","Glynn Plant (Managing Director, Munitions)","500 to 999","BAE SYSTEMS GLOBAL COMBAT SYSTEMS MUNITIONS LIMITED","False","06/10/2021 00:00:00","04/03/2021 09:53:31"
"BAE SYSTEMS MARINE LIMITED","Warwick House, PO BOX 87, Farnborough Aerospace Centre, Farnborough  Hampshire, GU14 6YU","00229770","30110","9.7","9.4","17.5","0","89.2","86.2","69.7","30.3","75.1","24.9","78.1","21.9","86.3","13.7","https://www.baesystems.com/en/our-company/sustainability/diversity-and-inclusion/our-approach-to-gender-balance","Cliff Robson (Managing Director)","5000 to 19,999","BAE SYSTEMS MARINE LIMITED","False","06/10/2021 00:00:00","04/03/2021 09:54:40"
"BAE SYSTEMS PLC","6 Carlton Gardens, London, SW1Y 5AD","01470151","25400,
29100,
30110,
30300","18.4","15.3","35.6","27.5","94.8","95.2","54.7","45.3","78.7","21.3","82.2","17.8","81.5","18.5","https://www.baesystems.com/en/our-company/sustainability/diversity-and-inclusion/our-approach-to-gender-balance","Brad Greve (Group Finance Director)","5000 to 19,999","BAE SYSTEMS PLC","False","06/10/2021 00:00:00","04/03/2021 09:48:39"
"BAE SYSTEMS SURFACE SHIPS LIMITED","Warwick House PO BOX 87, Farnborough Aerospace Centre, Farnborough, Hampshire, GU14 6YU","06160534","30110","3.6","5","8.3","3.9","95","93.9","81.2","18.8","81.9","18.1","84.2","15.8","86","14","https://www.baesystems.com/en/our-company/sustainability/diversity-and-inclusion/our-approach-to-gender-balance","Simon Lister (Managing Director, Naval Ships)","5000 to 19,999","BAE SYSTEMS SURFACE SHIPS LIMITED","False","06/10/2021 00:00:00","04/03/2021 09:55:41"
"Bank of England","Threadneedle Street, London, EC2R 8AH","","1,
84110","19.50","20.40","22.50","27.00","92.10","92.80","41.80","58.20","50.80","49.20","58.80","41.20","69.20","30.80","https://www.bankofengland.co.uk/-/media/boe/files/annual-report/2020/boe-2020.pdf?la=en&hash=BB61E017013CAC81824B64B9FE8AAA34ADBAB313#page=56","","1000 to 4999","Bank of England","False","06/10/2021 00:00:00","26/06/2020 10:57:50"
"BARCLAYS BANK PLC","1 Churchill Place, London, E14 5HP","01026167","64110","42.1","34.0","66.8","58.6","93.0","94.0","44.0","56.0","56.0","44.0","70.0","30.0","81.0","19.0","https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-Pay-Gap-2020.pdf","James E Staley (Group Chief Executive Officer, Barclays)","5000 to 19,999","BARCLAYS BANK PLC","False","06/10/2021 00:00:00","18/02/2021 07:15:06"
"BARCLAYS BANK UK PLC","1 Churchill Place, London, England, E14 5HP","09740322","64110","24.5","14.1","57.3","44.6","94","96","30","70","31","69","36","64","57","43","https://home.barclays/diversity","James E Staley (Group Chief Executive Officer, Barclays)","20,000 or more","BARCLAYS BANK UK PLC","False","06/10/2021 00:00:00","18/02/2021 07:23:40"
"BARCLAYS EXECUTION SERVICES LIMITED","1 Churchill Place, London, E14 5HP","01767980","82990","22","29","37.3","26.5","94","96","42","58","50","50","65","35","69","31","https://home.barclays/diversity","James E Staley (Group Chief Executive Officer, Barclays)","20,000 or more","BARCLAYS EXECUTION SERVICES LIMITED","False","06/10/2021 00:00:00","18/02/2021 07:20:00"
"BARCLAYS PLC","1 Churchill Place, London, E14 5HP","00048839","64110,
70100","41.6","59.5","58.8","80.6","91","97","55","45","61","39","91","9","68","32","https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-Pay-Gap-2020.pdf","James E Staley (Group Chief Executive Officer, Barclays)","Less than 250","BARCLAYS PLC","False","06/10/2021 00:00:00","18/02/2021 07:31:35"
"BARNSLEY NORSE LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","07742678","96090","3.0","6.0","	-136.2","	-136.2","0.9","0.2","9.6","90.4","8.4","91.6","32.6","67.4","15.2","84.8","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","500 to 999","BARNSLEY NORSE LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:04:07"
"BARRATT DEVELOPMENTS P L C","Barratt House Cartwright Way, Forest Business Park, Bardon Hill, Coalville, Leicestershire, LE67 1UF","00604574","41201","43.7","27.4","86.1","51.7","93.8","88.7","33.3","66.7","57.8","42.2","65.6","34.4","75.3","24.7","https://www.barrattdevelopments.co.uk/~/media/Files/B/Barratt-Developments/downloads/barratt-developments-gender-pay-gap-report-2020.pdf","Cheryl Lowe (Head of HR Policy and Reward)","250 to 499","BARRATT DEVELOPMENTS P L C","False","06/10/2021 00:00:00","23/10/2020 15:23:39"
"Basildon District Council","The Basildon Centre, St. Martin's Square, Basildon, Essex, United Kingdom, SS14 1DL","","1,
84110","1.1","	-5.9","50.5","68.0","5.2","7.1","56.7","43.3","47.3","52.7","28.8","71.2","31.2","68.8","https://www.basildon.gov.uk/article/522/Statistics-and-census-information","","500 to 999","Basildon District Council","False","06/10/2021 00:00:00","19/02/2021 11:39:07"
"Basingstoke College of Technology","Worting Road, Basingstoke, Hampshire, United Kingdom, RG21 8TN","","1,
85320","18.6","24.4","","","0.0","0.0","17.0","83.0","23.0","77.0","44.0","56.0","40.0","60.0","https://www.bcot.ac.uk/information/policies-and-statements/","","250 to 499","Basingstoke College of Technology","False","06/10/2021 00:00:00","20/11/2020 07:54:46"
"BATLEY MULTI ACADEMY TRUST","Windmill Lane, Batley, West Yorkshire, WF17 0LD","07732537","85310","24.0","50.5","","","0.0","0.0","9.7","90.3","14.9","85.1","32.6","67.4","29.1","70.9","https://batleymat.co.uk/wp-content/uploads/GenderPayGapReport2021.pdf","","500 to 999","BATLEY MULTI ACADEMY TRUST","False","06/10/2021 00:00:00","03/03/2021 10:16:04"
"BBC STUDIOS DISTRIBUTION LIMITED","1 Television Centre, 101 Wood Lane, London, United Kingdom, W12 7FA","01420028","59113,
90030","14.6","6.1","47.2","31.9","48.5","45.5","40.8","59.2","40.1","59.9","42.7","57.3","49.3","50.7","https://www.bbcstudios.com/media/4450/bbc_gpg_report_2020_final.pdf","Tom Fussell (CEO)","1000 to 4999","BBC STUDIOS DISTRIBUTION LIMITED","False","06/10/2021 00:00:00","12/01/2021 09:18:23"
"BBC STUDIOS PRODUCTIONS LIMITED","1 Television Centre, 101 Wood Lane, London, United Kingdom, W12 7FA","09463829","60200","13.5","8.0","44.5","92.1","15.2","10.1","32.5","67.5","31.5","68.5","31.9","68.1","46.0","54.0","https://www.bbcstudios.com/media/4450/bbc_gpg_report_2020_final.pdf","Tom Fussell (CEO)","1000 to 4999","BBC STUDIOS PRODUCTIONS LIMITED","False","06/10/2021 00:00:00","12/01/2021 09:18:10"
"BDO SERVICES LIMITED","55 Baker Street, London, W1U 7EU","07020023","82990","16.1","16.9","41.7","37.5","43.0","39.3","49.1","50.9","45.3","54.7","52.0","48.0","62.2","37.8","https://www.bdo.co.uk/getmedia/22a9ba7f-7952-4ab1-81f6-0fb69be8d805/Our-Pay-Gap-Report-2020.pdf.aspx","Paul Eagland (Managing Partner)","5000 to 19,999","BDO SERVICES LIMITED","False","06/10/2021 00:00:00","12/11/2020 13:59:19"
"BDW TRADING LIMITED","Barratt House Cartwright Way, Forest Business Park, Bardon Hill, Coalville, Leicestershire, LE67 1UF","03018173","41201","4.5","0.8","9.0","	-6.1","77.1","90.4","69.3","30.7","71.0","29.0","69.0","31.0","72.4","27.6","https://www.barrattdevelopments.co.uk/~/media/Files/B/Barratt-Developments/downloads/barratt-developments-gender-pay-gap-report-2020.pdf","Cheryl Lowe (Head of HR Policy and Reward)","5000 to 19,999","BDW TRADING LIMITED","False","06/10/2021 00:00:00","23/10/2020 15:25:27"
"BE MODERN LIMITED","19-34 Bedesway Bede Industrial Estate, Jarrow, Tyne And Wear, NE32 3BE","00829005","31090","35.0","12.5","36.6","0.0","93.7","96.2","100.0","0.0","55.6","44.4","87.5","12.5","100.0","0.0","https://www.bemodern.com/corporate/gender-pay-reporting/","John Harris (Executive Director)","250 to 499","BE MODERN LIMITED","False","06/10/2021 00:00:00","02/03/2021 12:27:04"
"BEACON BINGO LIMITED","Seebeck House 1a Seebeck Place, Knowlhill, Milton Keynes, Buckinghamshire, MK5 8FR","02095117","92000","21.8","5.5","27.0","18.9","9.0","2.1","20.2","79.8","39.6","60.4","41.9","58.1","65.1","34.9","","Vicky Grier (Head of HR)","250 to 499","BEACON BINGO LIMITED","False","06/10/2021 00:00:00","09/03/2021 10:37:15"
"BEAZLEY MANAGEMENT LIMITED","Plantation Place South, 60 Great Tower Street, London, EC3R 5AD","05016918","65120,
65202","33.1","35.9","63.1","50.0","96.0","96.0","41.0","59.0","44.0","56.0","64.0","36.0","75.0","25.0","https://www.beazley.com/documents/2020/beazley-gender-pay-gap-report-2020.pdf","Pippa Vowles (Head of Talent Management)","1000 to 4999","BEAZLEY MANAGEMENT LIMITED","False","06/10/2021 00:00:00","11/09/2020 08:55:19"
