"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"ASDA STORES LIMITED","1479","Asda House, South Bank, Great Wilson Street, Leeds, LS11 5AD","LS11 5AD","00464777","47190","7.6","4.7","36.2","20.1","81.7","87","43.3","56.7","37.5","62.5","45.3","54.7","61.8","38.2","","Hayley Tatum (Chief People Officer)","20,000 or more","ASDA STORES LIMITED","False","2023/04/05 00:00:00","2023/01/13 10:05:01"
"ASHGATE HOSPICECARE","1487","Ashgate Hospicecare Ashgate Road, Old Brampton, Chesterfield, Derbyshire, S42 7JD","S42 7JD","02263980","86101","-5.35","-15.65","","","0","0","20","80","20","80","17","83","11","89","","Matt Corbishley (Director of People & Performance)","250 to 499","ASHGATE HOSPICECARE","False","2023/04/05 00:00:00","2023/01/24 18:15:15"
"ASHTON GATE LIMITED","17090","Ashton Gate Stadium, Ashton Road, Bristol, England, BS3 2EJ","BS3 2EJ","05450440","82990","22","14.1","30","60","3.6","3","44.9","55.1","55.1","44.9","64","36","61.3","38.7","","Mark Kelly (Managing Director)","500 to 999","ASHTON GATE LIMITED","False","2023/04/05 00:00:00","2023/01/06 12:40:23"
"ASPERS (STRATFORD CITY) LIMITED","1507","1 Hans Street, London, SW1X 0JD","SW1X 0JD","07246090","92000","-1.6","0","","","0","0","44","56","73","27","69","31","65","35","https://www.aspersstratford.co.uk/terms-conditions-policies.html#gender-pay-gap-report","Richard Noble (CEO)","500 to 999","ASPERS (STRATFORD CITY) LIMITED","False","2023/04/05 00:00:00","2022/07/04 10:10:43"
"ASPIRE ACADEMIES TRUST","1512","Ground Floor, 2 The Waterhouse, Waterhouse Street, Hemel Hempstead, Hertfordshire, England, HP1 1ES","HP1 1ES","08187216","85200","14.7","28.3","","","0","0","3","97","3","97","14","86","10","90","","","250 to 499","ASPIRE ACADEMIES TRUST","False","2023/03/31 00:00:00","2023/01/04 12:36:46"
"ASSET EDUCATION","1525","St Helen's School, Woodbridge Road, Ipswich, Suffolk, United Kingdom, IP4 2LT","IP4 2LT","09434926","85200","13.2","12.9","","","0","0","10.4","89.6","6.6","93.4","13.3","86.7","11.8","88.2","https://drive.google.com/file/d/1Y1PSr5IfSADM07E5yRcl4XfvckKGZmTu/view","","500 to 999","ASSET EDUCATION","False","2023/03/31 00:00:00","2022/12/19 09:07:38"
"ASSOCIATION FOR SPINAL INJURY RESEARCH REHABILITATION AND REINTEGRATION","21453","2nd Floor Regis House, 45 King William Street, London, United Kingdom, EC4R 9AN","EC4R 9AN","03744357","86900,
93110,
93130","4.2","-7.3","","","0","0","57","43","41","59","18","82","41","59","","Tasha Webster (Director of Operations)","Less than 250","ASSOCIATION FOR SPINAL INJURY RESEARCH REHABILITATION AND REINTEGRATION","False","2023/04/05 00:00:00","2022/04/20 16:03:50"
"Association of Accounting Technicians","15800","30 Churchill Place, London, United Kingdom, E14 5RE","E14 5RE","01518983","","-0.2","9.8","-11.9","0","81.8","73.9","40","60","53","47","56","44","52","48","https://www.aat.org.uk/prod/s3fs-public/assets/AAT-gender-pay-gap-report-2022.pdf","Olivia Hill (Director of HR)","Less than 250","THE ASSOCIATION OF ACCOUNTING TECHNICIANS","False","2023/04/05 00:00:00","2022/12/12 17:16:00"
"ASTON UNIVERSITY CONSULTING LIMITED","1547","Aston University, Aston Triangle, Birmingham, West Midlands, United Kingdom, B4 7ET","B4 7ET","","1,
74990","17.01","16.19","68.62","0","15.99","21.65","32.36","67.64","43.24","56.76","47.99","52.01","60.99","39.01","","","1000 to 4999","ASTON UNIVERSITY CONSULTING LIMITED","False","2023/03/31 00:00:00","2023/01/19 19:00:56"
"ASTREA ACADEMY TRUST","1552","The Quadrant, 99 Parkway Avenue, Sheffield, England, S9 4WG","S9 4WG","09791051","85590","22.5","43.28","","","0","0","11.53","88.47","19.49","80.51","28.18","71.82","30.68","69.32","","","1000 to 4999","ASTREA ACADEMY TRUST","False","2023/03/31 00:00:00","2022/12/07 10:31:25"
"ATLAS PROFESSIONALS UK LIMITED","19368","10th Floor, Beacon Tower, Colston Street, Bristol, England, BS1 4XE","BS1 4XE","05788965","78109","-10","16","","","0","0","98","2","97","3","99","1","97","3","https://atlasprofessionals.com/static/files/Atlas%20Professionals%20UK%20Ltd%20Pay%20Gap%20Report%202021.pdf","Matt Riding (Group Commercial Director)","250 to 499","ATLAS PROFESSIONALS UK LIMITED","False","2023/04/05 00:00:00","2022/06/13 14:56:19"
"ATOM BANK PLC","16167","The Rivergreen Centre, Aykley Heads, Durham, England, DH1 5TS","DH1 5TS","08632552","64191","27.6","35.5","49","60.8","59.5","66.1","47","53","44","56","66.7","33.3","78.4","21.6","https://www.atombank.co.uk/gender-pay-gap/","Anne-Marie Lister (Chief People Officer)","250 to 499","ATOM BANK PLC","False","2023/04/05 00:00:00","2022/11/29 13:48:43"
"ATTIGO ACADEMY TRUST","19104","Worcesters Primary School, Goat Lane, Enfield, United Kingdom, EN1 4UF","EN1 4UF","11420376","85200,
85310","16.9","40.9","","","0","0","4.7","95.3","9.4","90.6","15.7","84.3","14.1","85.9","https://www.attigoacademytrust.co.uk/","Wendy Ochs (CFO/COO)","250 to 499","ATTIGO ACADEMY TRUST","False","2023/04/05 00:00:00","2022/10/20 21:18:11"
"AURA LEISURE AND LIBRARIES LIMITED","18632","Deeside Leisure Centre, Chester Road West, Queensferry, Flintshire, CH5 1SA","CH5 1SA","RS007610","","12.2","14","","","0","0","21","79","16","84","31","69","51","49","","Sian Williams (Leisure Development Manager)","250 to 499","AURA LEISURE AND LIBRARIES LIMITED","False","2023/04/05 00:00:00","2023/01/30 10:04:48"
"AURORA ACADEMIES TRUST","14499","Glenleigh Park Academy, Gunters Lane, Bexhill On Sea, East Sussex, TN39 4ED","TN39 4ED","08107711","85590","19.08","32.55","","","0","0","6.7","93.3","10.1","89.9","21.3","78.7","25.6","74.4","https://www.auroraacademies.org/gender-pay-report/","","250 to 499","AURORA ACADEMIES TRUST","False","2023/03/31 00:00:00","2023/01/31 10:23:30"
"AUTISM INITIATIVES (UK)","1601","Sefton House, Bridle Road, Bootle, Merseyside, England, L30 4XR","L30 4XR","02436777","85200,
85310,
87300,
88990","-1.7","0","","","0","0","41.2","58.8","40.9","59.1","39.1","60.9","36.1","63.9","https://www.autisminitiatives.org","Andrew Grainger (Chief Executive)","1000 to 4999","AUTISM INITIATIVES (UK)","False","2023/04/05 00:00:00","2022/09/22 11:00:08"
"AUTISM TOGETHER","1603","Wirral Centre For Autism Oak House (Unit C), 6 Tebay Road Bromborough, Wirral, Merseyside, CH62 3PA","CH62 3PA","02658268","87200","-1.57","0","","","0","0","42","58","43","57","51","49","44","56","","Jim Strain (HR Director)","500 to 999","AUTISM TOGETHER","False","2023/04/05 00:00:00","2022/11/17 16:10:34"
"AUTO TRADER LIMITED","1607","1 Tony Wilson Place, Manchester, England, M15 4FN","M15 4FN","03909628","58142","12.1","18.9","2.4","0.0","97.7","97.1","50.0","50.0","56.8","43.2","66.5","33.5","68.4","31.6","https://plc.autotrader.co.uk/media/2598/auto-trader-gender-and-ethnicity-pay-gap-report-2022.pdf","Nathan Coe (CEO)","500 to 999","AUTO TRADER LIMITED","False","2023/04/05 00:00:00","2022/11/24 18:05:05"
"AUTODESK LIMITED","1608","Talbot Way, Small Heath Business Park, Birmingham, England, B10 0HJ","B10 0HJ","01839239","62012","22","29.1","26.5","45.5","98.5","98.8","56.0","44.0","79.3","20.7","85.3","14.7","83.2","16.8","","Lisa Holroyd (Manager, People Services)","500 to 999","AUTODESK LIMITED","False","2023/04/05 00:00:00","2022/09/21 15:20:54"
"AVANTE CARE AND SUPPORT LIMITED","1624","De Gelsey House, 1 Jubilee Way, Faversham, Kent, ME13 8GD","ME13 8GD","02565021","87300,
88100,
88990","27.2","20.2","75.66","0","80.41","87.93","3","97","6","94","8","92","19","81","https://avantecare.org.uk/downloads/Gender-Pay-Gap-Report-2022.pdf","Deborah Norman (Finance Director)","500 to 999","AVANTE CARE AND SUPPORT LIMITED","False","2023/04/05 00:00:00","2022/11/03 16:20:12"
"AVARA FOODS LIMITED","21629","1 Willow Road, Brackley, Northamptonshire, United Kingdom, NN13 7EX","NN13 7EX","10973868","10120","31.8","30.4","45.5","56.3","25.81","17.65","29.51","70.49","49.18","50.82","52.46","47.54","73.33","26.67","","Andrew Brodie (People & Communications Director)","Less than 250","AVARA FOODS LIMITED","False","2023/04/05 00:00:00","2023/01/10 15:12:23"
"AVENTIS PHARMA LIMITED","1628","410 Thames Valley Park Drive, Reading, Berkshire, England, RG6 1PT","RG6 1PT","01535640","46460","19.1","11.9","32.9","27.9","98","99","28","72","40","60","42","58","57","43","","Gordon Tillett (Head of HR, UK and Ireland)","500 to 999","AVENTIS PHARMA LIMITED","False","2023/04/05 00:00:00","2022/10/27 08:49:10"
"AVIAGEN LIMITED","1638","Stratford Hatchery Alscott Industrial Estate, Atherstone On Stour, Stratford-Upon-Avon, Warwickshire, CV37 8BH","CV37 8BH","01610943","1470","13.4","0.1","50.0","11.8","83.4","80","71.2","28.8","82.8","17.2","75.5","24.5","77.8","22.2","","Debbie Watson (Head of HR)","250 to 499","AVIAGEN LIMITED","False","2023/04/05 00:00:00","2022/06/30 11:28:48"
"AVIAGEN UK LIMITED","1639","AVIAGEN LTD, 11 Lochend Road, Ratho Station, Newbridge, Midlothian, EH28 8SZ","EH28 8SZ","SC065463","1470","13.4","5.3","32.2","12.0","84.9","81.6","54.3","45.7","63.6","36.4","61.4","38.6","69.9","30.1","","Debbie Watson (Head of HR)","250 to 499","AVIAGEN UK LIMITED","False","2023/04/05 00:00:00","2022/06/30 11:30:44"
"AVIOS GROUP (AGL) LIMITED","1640","Waterside (Hea3), PO BOX 365, Harmondsworth, United Kingdom, UB7 0GB","UB7 0GB","02260073","82990","22","22","34","19","85","86","34","66","34","66","24","76","64","36","https://25102283.fs1.hubspotusercontent-eu1.net/hubfs/25102283/Website%20Assets/Downloads/Gender-Pay-Gap-report-2022-FINAL%20(1).pdf","Helen Miller (Chief People Officer)","250 to 499","AVIOS GROUP (AGL) LIMITED","False","2023/04/05 00:00:00","2022/10/12 10:29:22"
"Avon & Wiltshire Mental Health Partnership NHS Trust","15705","Bath NHS House, Newbridge Hill, Bath, BA1 3QE","BA1 3QE","","1,
86210","13.13","9.9","35.8","52.5","1.54","0.31","20","80","22","78","26","74","31","69","https://www.awp.nhs.uk/application/files/2216/6868/5785/Pay_Gap_Report_2022.pdf","","1000 to 4999","Avon & Wiltshire Mental Health Partnership NHS Trust","False","2023/03/31 00:00:00","2022/11/17 16:42:32"
"AXMINSTER TOOL CENTRE LTD","1685","Unit 10 Weycroft Avenue, Axminster, Devon, EX13 5PH","EX13 5PH","03326979","46620,
47789","9.67","5.53","85.6","98","10","20","73","27","51","49","68","32","84","16","https://cdn.axminstertools.com/media/cms/articles-core/csr/gender-pay-gap-report-2022-report-for-axminster-tools-ltd.pdf","Jane Boulton (Human Resources Director)","250 to 499","AXMINSTER TOOL CENTRE LTD","False","2023/04/05 00:00:00","2022/12/13 14:37:00"
"AZEBRA PAY LTD","1691","Unit 1 Kings Park, Primrose Hill, Kings Langley, England, WD4 8ST","WD4 8ST","06014862","78109","-3.8","-16.87","","","0","0","44","56","29","71","25","75","47","53","","Julie Goulding (Operations Manager)","20,000 or more","AZEBRA PAY LTD","False","2023/04/05 00:00:00","2023/01/10 11:12:15"
"B.A.I. (U.K.), LIMITED","1708","Millbay, Plymouth, PL1 3EW","PL1 3EW","01080495","50100,
50200","20","-10","23","6","84","86","58","42","32","68","36","64","62","38","","Catherine Claire (Payroll Manager)","250 to 499","B.A.I. (U.K.), LIMITED","False","2023/04/05 00:00:00","2022/10/21 12:52:27"
"B.H.C. LIMITED","1710","6 East Bridge Street, Enniskillen, County Fermanagh, BT74 7BT","BT74 7BT","NI029649","41201","13.6","12","2","0","86.5","96.4","88.8","11.2","90.8","9.2","94.9","5.1","96.9","3.1","","Gordon McKinnon (Cost and Management Accountant)","250 to 499","B.H.C. LIMITED","False","2023/04/05 00:00:00","2022/10/27 15:38:20"
"Baillie Gifford & Co","15971","Calton Square, 1 Greenside Row, Edinburgh, EH1 3AN","EH1 3AN","","64301,
64304,
66300","17.3","12.3","46.6","16.1","95.4","94.4","54.3","45.7","44.9","55.1","57.5","42.5","61.1","38.9","https://www.bailliegifford.com/en/uk/about-us/literature-library/diversity-inclusion/uk-fair-pay-report-2022/","Andrew Telfer (Senior Partner)","1000 to 4999","Baillie Gifford & Co","False","2023/04/05 00:00:00","2023/01/30 08:14:54"
"BANCROFT'S SCHOOL","19212","High Road, Woodford Green, Essex, IG8 0RF","IG8 0RF","03513962","85200,
85310","14.08","12.09","22.28","22.00","98.06","100","28.81","71.19","48.28","51.72","39.66","60.34","60.34","39.66","","Daren Clark (Payroll Manager)","250 to 499","BANCROFT'S SCHOOL","False","2023/04/05 00:00:00","2023/01/03 09:52:04"
"Bank of England","14475","Threadneedle Street, London, EC2R 8AH","EC2R 8AH","","1,
84110","18.5","20.1","23.1","24.8","92.5","93.8","40","60","51","49","60","40","67","33","https://www.bankofengland.co.uk/annual-report/2022","","1000 to 4999","Bank of England","False","2023/03/31 00:00:00","2022/06/23 17:12:15"
"BARFOOTS OF BOTLEY LIMITED","493","Sefter Farm, Pagham Road, Bognor Regis, West Sussex, PO21 3PX","PO21 3PX","02383478","46310","3.06","-5.21","51.67","0","82.3","74.6","48.6","51.4","81.6","18.4","55","45","67.4","32.6","","Claire Booker (Head of HR)","500 to 999","BARFOOTS OF BOTLEY LIMITED","False","2023/04/05 00:00:00","2022/12/01 09:49:10"
"BARKER CARE LIMITED","1818","Mortimer House, Clifton Down Road, Bristol, England, BS8 4AE","BS8 4AE","01385930","86102","-7.5","0","","","0","0","26.8","73.2","30.9","69.1","33.7","66.3","47","53","https://cedarcarehomes.co.uk/gender-pay-gap-2022/","Ganesh Gudka (Chief Finance Officer)","250 to 499","BARKER CARE LIMITED","False","2023/04/05 00:00:00","2022/06/06 17:08:32"
"Barking & Dagenham College","1819","Dagenham Road, Romford, Essex, United Kingdom, RM7 0XU","RM7 0XU","","1,
85320","4.5","9.9","6.9","-15.2","6.7","7.8","35","65","30","70","46","54","44","56","http://www.barkingdagenhamcollege.ac.uk","","250 to 499","Barking & Dagenham College","False","2023/03/31 00:00:00","2022/09/28 15:21:29"
"Barnet Enfield & Haringey Mental Health NHS Trust","15663","Barnet Enfield & Haringey Mental Health NHS Trust, ST Ann's Hospital, St Ann's Road, London, N15 3TH","N15 3TH","","1,
86210","7.0","1.4","39.1","63.3","2.0","0.7","28.7","71.3","33.6","66.4","26.4","73.6","35.9","64.1","https://www.beh-mht.nhs.uk/","","1000 to 4999","Barnet Enfield & Haringey Mental Health NHS Trust","False","2023/03/31 00:00:00","2022/10/20 13:55:53"
"BARNSLEY COLLEGE","1833","Barnsley College PO BOX 266, Church Street, Barnsley, South Yorkshire, United Kingdom, S70 2YW","S70 2YW","","1","8.9","5.6","","","0","0","25","75","37","63","37.5","62.5","44","56","https://www.barnsley.ac.uk/about-us/equality-diversity/","","500 to 999","BARNSLEY COLLEGE","False","2023/03/31 00:00:00","2023/01/04 08:03:22"
"BARRATT DEVELOPMENTS P L C","1839","Barratt House Cartwright Way, Forest Business Park, Bardon Hill, Coalville, Leicestershire, LE67 1UF","LE67 1UF","00604574","41201","47.4","34.2","87.3","48.1","79.0","82.5","32.4","67.6","57.9","42.1","65.4","34.6","84.0","16.0","https://www.barrattdevelopments.co.uk/~/media/Files/B/Barratt-Developments/documents/Publications/Barratt%20Developments%20PLC%20Gender%20and%20ethnicity%20pay%20gap%20report%202022.pdf","Helen Adams (Head of Reward and Policy)","250 to 499","BARRATT DEVELOPMENTS P L C","False","2023/04/05 00:00:00","2022/12/12 15:58:17"
"Basingstoke College of Technology","1862","Worting Road, Basingstoke, Hampshire, United Kingdom, RG21 8TN","RG21 8TN","","1,
85320","19.6","23.5","","","0","0","20.3","79.7","25","75","41.5","58.5","42.2","57.8","https://www.bcot.ac.uk/about-bcot/policies-and-statements/","","250 to 499","Basingstoke College of Technology","False","2023/03/31 00:00:00","2022/11/01 11:44:31"
"BATLEY MULTI ACADEMY TRUST","1868","Windmill Lane, Batley, West Yorkshire, WF17 0LD","WF17 0LD","07732537","85310","23.7","48.6","","","0","0","7.6","92.4","20","80","25.5","74.5","31.9","68.1","","","500 to 999","BATLEY MULTI ACADEMY TRUST","False","2023/03/31 00:00:00","2023/01/10 14:12:53"
"BBC STUDIOS DISTRIBUTION LIMITED","1887","1 Television Centre, 101 Wood Lane, London, United Kingdom, W12 7FA","W12 7FA","01420028","59113,
90030","13.5","9.5","35.4","70.4","45.7","40.1","40.4","59.6","34.7","65.3","41.1","58.9","47.6","52.4","https://www.bbcstudios.com/media/5628/pay-gap-report-2022.pdf","Tom Fussell (CEO)","1000 to 4999","BBC STUDIOS DISTRIBUTION LIMITED","False","2023/04/05 00:00:00","2022/09/09 17:14:58"
"BBC STUDIOS PRODUCTIONS LIMITED","18366","1 Television Centre, 101 Wood Lane, London, United Kingdom, W12 7FA","W12 7FA","09463829","60200","11.5","5.2","79.3","70.0","17.0","28.6","35.4","64.6","29.1","70.9","32.7","67.3","43.4","56.6","https://www.bbcstudios.com/media/5628/pay-gap-report-2022.pdf","Tom Fussell (CEO)","1000 to 4999","BBC STUDIOS PRODUCTIONS LIMITED","False","2023/04/05 00:00:00","2022/09/09 17:09:17"
"BDO SERVICES LIMITED","127","55 Baker Street, London, W1U 7EU","W1U 7EU","07020023","82990","11.59","11.35","33.73","14.58","72.89","78.31","51.33","48.67","49.26","50.74","54.18","45.82","60.83","39.17","https://www.bdo.co.uk/getmedia/7ac87d5a-1a8a-47b5-a86c-526e00edb440/BDO-Pay-Gap-Report-2022.pdf.aspx","Paul Eagland (Managing Partner)","5000 to 19,999","BDO SERVICES LIMITED","False","2023/04/05 00:00:00","2022/11/07 21:02:16"
"BDW TRADING LIMITED","1907","Barratt House Cartwright Way, Forest Business Park, Bardon Hill, Coalville, Leicestershire, LE67 1UF","LE67 1UF","03018173","41201","4.9","5.8","6.8","-4.3","83.0","86.6","63.6","36.4","71.4","28.6","71.6","28.4","69.4","30.6","https://www.barrattdevelopments.co.uk/~/media/Files/B/Barratt-Developments/documents/Publications/Barratt%20Developments%20PLC%20Gender%20and%20ethnicity%20pay%20gap%20report%202022.pdf","Helen Adams (Head of Reward and Policy)","5000 to 19,999","BDW TRADING LIMITED","False","2023/04/05 00:00:00","2022/12/12 15:59:48"
"BE MODERN LIMITED","1912","19-34 Bedesway Bede Industrial Estate, Jarrow, Tyne And Wear, NE32 3BE","NE32 3BE","00829005","31090","-1.1","-12.6","60.5","0.0","99.6","98.0","92.0","8.0","85.1","14.9","81.1","18.9","77.3","22.7","https://www.bemodern.com","JOHN HARRIS (Executive Director)","250 to 499","BE MODERN LIMITED","False","2023/04/05 00:00:00","2022/04/25 16:35:08"
"Bedfordshire Police","1945","Woburn Road, Bedford, Bedfordshire, United Kingdom, MK43 9AX","MK43 9AX","","1,
84240,
94110","6.1","9.4","37.2","16.7","11.4","5.9","46.6","53.4","43.6","56.4","49.4","50.6","63.8","36.2","","","1000 to 4999","Bedfordshire Police","False","2023/03/31 00:00:00","2022/12/15 10:25:59"
"BEDFORDSHIRE SCHOOLS TRUST LIMITED","1946","Best House Shefford Road, Clifton, Shefford, Bedfordshire, SG17 5QS","SG17 5QS","07546141","85200,
85310,
85320","27.3","47.9","","","0","0","18","82","8","92","17","83","37","63","https://www.bestacademies.org.uk/page/?title=Governance&pid=7","","500 to 999","BEDFORDSHIRE SCHOOLS TRUST LIMITED","False","2023/03/31 00:00:00","2022/10/11 10:05:32"
"BELIEVE ENGAGE SUCCEED TRUST","19735","Riverwalk Campus, Mayfield Road, Bury St. Edmunds, Suffolk, England, IP33 2PD","IP33 2PD","10025988","85200,
85310","19.6","13.5","","","0","0","4.9","95.1","6.6","93.4","8.2","91.8","14.8","85.2","http://best-education.co.uk/wp-content/uploads/2022/12/BEST-Gender-Pay-Gap-Report-2022-FINAL.pdf","","250 to 499","BELIEVE ENGAGE SUCCEED TRUST","False","2023/03/31 00:00:00","2022/12/07 08:40:31"
"BELLS OF LAZONBY LIMITED","218","Edenholme Bakery, Lazonby, Penrith, Cumbria, CA10 1BG","CA10 1BG","00500802","10710","13.2","0","70.5","50","5.5","5","47.1","52.9","65.7","34.3","47.1","52.9","70.4","29.6","https://www.bellsoflazonby.co.uk/about-us/gender-pay-gap-report/","David Simmons (Finance Director)","250 to 499","BELLS OF LAZONBY LIMITED","False","2023/04/05 00:00:00","2022/10/25 15:17:33"
"BePART Educational Trust","21212","Birkenhead Sixth Form College, Park Road West, Claughton, Prenton, Merseyside, CH43 8SQ","CH43 8SQ","","","10.343","22.81","","","0","0","24.62","75.38","26.56","73.44","39.06","60.94","30.77","69.23","","","250 to 499","BePART Educational Trust","False","2023/03/31 00:00:00","2023/01/26 15:52:04"
"BERKELEY HOME HEALTH LIMITED","20807","Unit 5 Abbey Business Park, Monks Walk, Farnham, Surrey, England, GU9 8HT","GU9 8HT","08781493","88100","-10.3","0","-200","-111","43","66","9","91","15","85","9","91","9","91","https://berkeleyhomehealth.com/gender-pay-report/","Steve Clarke (CFO)","Less than 250","BERKELEY HOME HEALTH LIMITED","False","2023/04/05 00:00:00","2022/12/23 15:09:52"
